theta_new(rad)	theta(rad)	delta3pSmoothed_Cf	delta3pSmoothed_Cf_smooth	delta2p_Cf	delta2p_Cf_smooth	delta3p_Cf	delta3p_Cf_smooth	delta4p_Cf	delta4p_Cf_smooth
1.25163265359	1.88996	0.51274	0.491001960604	1.72902	0.489949290308	-0.508159	0.489721112555	-0.156851	0.492819781477
1.26414265359	1.87745	0.526564	0.484011298321	0.490104	0.48247540914	1.13803	0.482613179861	2.68597	0.485247965405
1.27666265359	1.86493	0.360126	0.476876085018	-0.709215	0.474852183473	0.406075	0.475369250708	-3.63291	0.477567063126
1.28918265359	1.85241	0.5707	0.469603431399	1.37018	0.46709410167	0.483425	0.467997788198	5.63955	0.469789654559
1.30169265359	1.8399	0.435833	0.462200539508	0.627962	0.459215602379	0.108295	0.460507140465	-5.1123	0.461927569573
1.31421265359	1.82738	0.456958	0.454674694528	0.0859747	0.451230956454	0.824061	0.452905523305	7.11624	0.453991829477
1.32673265359	1.81486	0.404598	0.447033256353	0.120147	0.443154154009	0.391705	0.44520100682	-8.74524	0.445992605392
1.33924265359	1.80235	0.501032	0.439283650923	0.83131	0.434998798331	0.481772	0.437401505992	12.8714	0.437939193638
1.35176265359	1.78983	0.381773	0.431433361346	0.439112	0.426778008186	0.103784	0.429514775016	-15.109	0.429840007951
1.36427265359	1.77732	0.491062	0.423489918786	0.618695	0.418504329928	0.745834	0.421548405161	18.8369	0.421702588047
1.37679265359	1.7648	0.325126	0.415460893137	-0.156356	0.41018966064	0.296838	0.413509825864	-20.5494	0.41353362373
1.38931265359	1.75228	0.471032	0.407353883482	0.611027	0.401845183288	0.464333	0.405406308697	23.4248	0.405338993506
1.40182265359	1.73977	0.365695	0.399176508346	0.393778	0.393481314712	0.491692	0.397244973812	-24.0596	0.39712381639
1.41434265359	1.72725	0.416983	0.390936395759	0.53399	0.38510766699	0.082126	0.389032798438	25.5091	0.388892515407
1.42686265359	1.71473	0.370581	0.382641173125	0.398124	0.376733022504	0.614782	0.380776626961	-24.4963	0.380648891089
1.43937265359	1.70222	0.384532	0.374298456935	0.38804	0.368365322781	0.263323	0.372483182124	24.3543	0.372396203146
1.45189265359	1.6897	0.355336	0.365915842321	0.243459	0.360011670931	0.442239	0.364159076877	-22.3136	0.364137258381
1.46441265359	1.67718	0.352136	0.357500892481	0.218241	0.351678347291	0.340208	0.355810826401	21.6057	0.355874502841
1.47692265359	1.66467	0.354564	0.349061127992	0.371281	0.343370837627	0.367489	0.347444859875	-19.637	0.347610116219
1.48944265359	1.65215	0.337086	0.340604016048	0.339252	0.33509387305	0.336811	0.339067531557	19.1141	0.339346106468
1.50195265359	1.63964	0.335754	0.332136959625	0.359856	0.326851480602	0.331545	0.330685130791	-17.1708	0.331084402729
1.51447265359	1.62712	0.32301	0.323667286634	0.340868	0.318647043289	0.316865	0.322303890611	16.4838	0.322826944679
1.52699265359	1.6146	0.316568	0.315202239069	0.331034	0.310483368196	0.307893	0.31392999465	-14.3971	0.31457576661
1.53950265359	1.60209	0.30678	0.306748962196	0.316746	0.302362761181	0.298719	0.305569582099	13.4894	0.306333074637
1.55202265359	1.58957	0.298714	0.298314493815	0.305516	0.294287106569	0.292028	0.297228750567	-11.2731	0.298101315667
1.56454265359	1.57705	0.289974	0.289905753631	0.295043	0.286257950191	0.286545	0.288913556688	10.196	0.289883236927
1.57705265359	1.56454	0.281577	0.281529532777	0.286846	0.27827658407	0.279058	0.280630014446	-7.92046	0.281681935092
